Year,Event,Name,NOC,Awarded_Medal
2028,Men -68kg,Bradly Sinden,Great Britain,Silver
2028,Men -68kg,Yushuai Liang,China,Bronze
2028,Men -73 kg,Joan-benjamin Gaba,France,Gold
2028,Men -73 kg,Lasha Shavdatuashvili,Georgia,Silver
2028,Men -73 kg,Soichi Hashimoto,Japan,Bronze
2028,Men -80kg,Firas Katoussi,Tunisia,Gold
2028,Men -80kg,Cj Nickolas,United States,Silver
2028,Men -80kg,Saleh Elsharabaty,Jordan,Bronze
2028,Men -81 kg,Takanori Nagase,Japan,Gold
2028,Men -81 kg,Oumar Djalo,France,Silver
2028,Men -81 kg,Timo Cavelius,Germany,Bronze
2028,Men -90 kg,Lasha Bekauri,Georgia,Gold
2028,Men -90 kg,Sanshiro Murao,Japan,Silver
2028,Men -90 kg,Maxime-gael Ngayap,France,Bronze
2028,Men's +102kg,Lasha Talakhadze,Georgia,Gold
2028,Men's +102kg,Eishiro Murakami,Japan,Silver
2028,Men's +102kg,David Liti,New Zealand,Bronze
2028,Men's +92kg,Bakhodir Jalolov,Uzbekistan,Gold
2028,Men's +92kg,Ayoub Ghadfa,Spain,Silver
2028,Men's +92kg,Joshua Edwards,United States,Bronze
2028,"Men's 10,000m",Joshua Cheptegei,Uganda,Gold
2028,"Men's 10,000m",Mohammed Ahmed,Canada,Silver
2028,"Men's 10,000m",Grant Fisher,United States,Bronze
2028,Men's 100m,Marcell Jacobs,Italy,Gold
2028,Men's 100m,Aaron Brown,Canada,Silver
2028,Men's 100m,Markus Fuchs,Austria,Bronze
2028,Men's 100m Backstroke,Ryan Murphy,United States,Gold
2028,Men's 100m Backstroke,Jiayu Xu,China,Silver
2028,Men's 100m Backstroke,Hunter Armstrong,United States,Bronze
2028,Men's 100m Breaststroke,Adam Peaty,Great Britain,Gold
2028,Men's 100m Breaststroke,Nic Fink,United States,Silver
2028,Men's 100m Breaststroke,Charlie Swanson,United States,Bronze
2028,Men's 100m Butterfly,Caeleb Dressel,United States,Gold
2028,Men's 100m Butterfly,James Guy,Great Britain,Silver
2028,Men's 100m Butterfly,Kristof Milak,Hungary,Bronze
2028,Men's 100m Freestyle,Kyle Chalmers,Australia,Gold
2028,Men's 100m Freestyle,Matthew Richards,Great Britain,Silver
2028,Men's 100m Freestyle,Zhanle Pan,China,Bronze
2028,Men's 102kg,Huanhua Liu,China,Gold
2028,Men's 102kg,Wes Kitts,United States,Silver
2028,Men's 102kg,Akbar Djuraev,Uzbekistan,Bronze
2028,Men's 10km,Patrick Robinson,Great Britain,Gold
2028,Men's 10km,Gregorio Paltrinieri,Italy,Silver
2028,Men's 10km,Kristof Rasovszky,Hungary,Bronze
2028,Men's 10m Platform,Yuan Cao,China,Gold
2028,Men's 10m Platform,Hao Yang,China,Silver
2028,Men's 10m Platform,Noah Williams,Great Britain,Bronze
2028,Men's 110m Hurdles,Grant Holloway,United States,Gold
2028,Men's 110m Hurdles,Hansle Parchment,Jamaica,Silver
2028,Men's 110m Hurdles,Daniel Roberts,United States,Bronze
2028,Men's 1500m,Jakob Ingebrigtsen,Norway,Gold
2028,Men's 1500m,Cole Hocker,United States,Silver
2028,Men's 1500m,Josh Kerr,Great Britain,Bronze
2028,Men's 1500m Freestyle,Gregorio Paltrinieri,Italy,Gold
2028,Men's 1500m Freestyle,Sven Schwarz,Germany,Silver
2028,Men's 1500m Freestyle,Bobby Finke,United States,Bronze
2028,Men's 200m,Ian Kerr,Bahamas,Gold
2028,Men's 200m,Aaron Brown,Canada,Silver
2028,Men's 200m,Noah Lyles,United States,Bronze
2028,Men's 200m Backstroke,Ryan Murphy,United States,Gold
2028,Men's 200m Backstroke,Jiayu Xu,China,Silver
2028,Men's 200m Backstroke,Thomas Ceccon,Italy,Bronze
2028,Men's 200m Breaststroke,Leon Marchand,France,Gold
2028,Men's 200m Breaststroke,Erik Persson,Sweden,Silver
2028,Men's 200m Breaststroke,Haiyang Qin,China,Bronze
2028,Men's 200m Butterfly,Leon Marchand,France,Gold
2028,Men's 200m Butterfly,Kristof Milak,Hungary,Silver
2028,Men's 200m Butterfly,Thomas Heilman,United States,Bronze
2028,Men's 200m Freestyle,Duncan Scott,Great Britain,Gold
2028,Men's 200m Freestyle,Omar Abbas,Syria,Silver
2028,Men's 200m Freestyle,Zhanle Pan,China,Bronze
2028,Men's 200m Individual Medley,Duncan Scott,Great Britain,Gold
2028,Men's 200m Individual Medley,Leon Marchand,France,Silver
2028,Men's 200m Individual Medley,Tom Dean,Great Britain,Bronze
2028,Men's 20km Race Walk,Daniel Pintado,Ecuador,Gold
2028,Men's 20km Race Walk,Alvaro Martin,Spain,Silver
2028,Men's 20km Race Walk,Massimo Stano,Italy,Bronze
2028,Men's 3000m Steeplechase,Soufiane El,Morocco,Gold
2028,Men's 3000m Steeplechase,Kenneth Rooks,United States,Silver
2028,Men's 3000m Steeplechase,Lamecha Girma,Ethiopia,Bronze
2028,Men's 3m Springboard,Zongyuan Wang,China,Gold
2028,Men's 3m Springboard,Siyi Xie,China,Silver
2028,Men's 3m Springboard,Jack Laugher,Great Britain,Bronze
2028,Men's 4 x 100m Freestyle Relay,Caeleb Dressel,United States,Gold
2028,Men's 4 x 100m Freestyle Relay,Duncan Scott,Great Britain,Silver
2028,Men's 4 x 100m Freestyle Relay,Kyle Chalmers,Australia,Bronze
2028,Men's 4 x 100m Medley Relay,Caeleb Dressel,United States,Gold
2028,Men's 4 x 100m Medley Relay,Ryan Murphy,United States,Silver
2028,Men's 4 x 100m Medley Relay,Duncan Scott,Great Britain,Bronze
2028,Men's 4 x 100m Relay,Christopher Ius,Australia,Gold
2028,Men's 4 x 100m Relay,Marcell Jacobs,Italy,Silver
2028,Men's 4 x 100m Relay,Aaron Brown,Canada,Bronze
2028,Men's 4 x 200m Freestyle Relay,Duncan Scott,Great Britain,Gold
2028,Men's 4 x 200m Freestyle Relay,James Guy,Great Britain,Silver
2028,Men's 4 x 200m Freestyle Relay,Blake Pieroni,United States,Bronze
2028,Men's 4 x 400m Relay,Rai Benjamin,United States,Gold
2028,Men's 4 x 400m Relay,Vernon Norwood,United States,Silver
2028,Men's 4 x 400m Relay,Bryce Deadmon,United States,Bronze
2028,Men's 400m,Attila Molnar,Hungary,Gold
2028,Men's 400m,Michael Norman,United States,Silver
2028,Men's 400m,Quincy Hall,United States,Bronze
2028,Men's 400m Freestyle,Elijah Winnington,Australia,Gold
2028,Men's 400m Freestyle,Kieran Smith,United States,Silver
2028,Men's 400m Freestyle,Lukas Maertens,Germany,Bronze
2028,Men's 400m Hurdles,Rai Benjamin,United States,Gold
2028,Men's 400m Hurdles,Karsten Warholm,Norway,Silver
2028,Men's 400m Hurdles,Cj Allen,United States,Bronze
2028,Men's 400m Individual Medley,Leon Marchand,France,Gold
2028,Men's 400m Individual Medley,Chase Kalisz,United States,Silver
2028,Men's 400m Individual Medley,Carson Foster,United States,Bronze
2028,Men's 5000m,Joshua Cheptegei,Uganda,Gold
2028,Men's 5000m,Jakob Ingebrigtsen,Norway,Silver
2028,Men's 5000m,Mohammed Ahmed,Canada,Bronze
2028,Men's 50m Freestyle,David Young,Fiji,Gold
2028,Men's 50m Freestyle,Caeleb Dressel,United States,Silver
2028,Men's 50m Freestyle,Florent Manaudou,France,Bronze
2028,Men's 51kg,Hasanboy Dusmatov,Uzbekistan,Gold
2028,Men's 51kg,Roscoe Hill,United States,Silver
2028,Men's 51kg,Billal Bennama,France,Bronze
2028,Men's 57kg,Abdumalik Khalokov,Uzbekistan,Gold
2028,Men's 57kg,Jahmal Harvey,United States,Silver
2028,Men's 57kg,Charlie Senior,Australia,Bronze
2028,Men's 61kg,Fabin Li,China,Gold
2028,Men's 61kg,Hampton Morris,United States,Silver
2028,Men's 61kg,Eko Irawan,Indonesia,Bronze
2028,Men's 63.5kg,Sofiane Oumiha,France,Gold
2028,Men's 63.5kg,Erislandy Alvarez,Cuba,Silver
2028,Men's 63.5kg,Harry Garside,Australia,Bronze
2028,Men's 71kg,Asadkhuja Muydinkhujaev,Uzbekistan,Gold
