Year,Event,Name,NOC,Awarded_Medal
2028,Men's Vault,Daiki Hashimoto,Japan,Bronze
2028,Men's Windsurfing,Francisco Cruz,Argentina,Gold
2028,Men's Windsurfing,Tom Reuveny,Israel,Silver
2028,Men's Windsurfing,Grae Morris,Australia,Bronze
2028,Men's Épée Individual,Koki Kano,Japan,Gold
2028,Men's Épée Individual,Yannick Borel,France,Silver
2028,Men's Épée Individual,Kazuyasu Minobe,Japan,Bronze
2028,Men's Épée Team,Koki Kano,Japan,Gold
2028,Men's Épée Team,Yannick Borel,France,Silver
2028,Men's Épée Team,Kazuyasu Minobe,Japan,Bronze
2028,Mixed 4 x 100m Medley Relay,Erik Persson,Sweden,Gold
2028,Mixed 4 x 100m Medley Relay,Caeleb Dressel,United States,Silver
2028,Mixed 4 x 100m Medley Relay,Ryan Murphy,United States,Bronze
2028,Mixed Dinghy,Lara Vadlau,Austria,Gold
2028,Mixed Dinghy,Anton Dahlberg,Sweden,Silver
2028,Mixed Dinghy,Miho Yoshioka,Japan,Bronze
2028,Mixed Doubles,Yingsha Sun,China,Gold
2028,Mixed Doubles,Chuqin Wang,China,Silver
2028,Mixed Doubles,Jorge Campos,Cuba,Bronze
2028,Mixed Multihull,Ruggero Tita,Italy,Gold
2028,Mixed Multihull,Marianna Banti,Italy,Silver
2028,Mixed Multihull,Anna Burnet,Great Britain,Bronze
2028,Mixed Team,Teddy Riner,France,Gold
2028,Mixed Team,Clarisse Agbegnenou,France,Silver
2028,Mixed Team,Woojin Kim,South Korea,Bronze
2028,Relay Only Athlete,Abbey Weitzeil,United States,Gold
2028,Relay Only Athlete,Blake Pieroni,United States,Silver
2028,Relay Only Athlete,Bronte Campbell,Australia,Bronze
2028,Skeet Men,Vincent Hancock,United States,Gold
2028,Skeet Men,Gabriele Rossetti,Italy,Silver
2028,Skeet Men,Lynn Prince,United States,Bronze
2028,Skeet Mixed Team,Vincent Hancock,United States,Gold
2028,Skeet Mixed Team,Diana Bacosi,Italy,Silver
2028,Skeet Mixed Team,Gabriele Rossetti,Italy,Bronze
2028,Skeet Women,Diana Bacosi,Italy,Gold
2028,Skeet Women,Jewell Smith,United States,Silver
2028,Skeet Women,Francisca Crovetto,Chile,Bronze
2028,Team,Qianyi Wang,China,Gold
2028,Team,Liuyi Wang,China,Silver
2028,Team,Yu Feng,China,Bronze
2028,Trap Men,Giovanni Pellielo,Italy,Gold
2028,Trap Men,Alberto Fernandez,Spain,Silver
2028,Trap Men,Nathan Hales,Great Britain,Bronze
2028,Trap Women,Catherine Skinner,Australia,Gold
2028,Trap Women,Jessica Rossi,Italy,Silver
2028,Trap Women,Fatima Galvez,Spain,Bronze
2028,Women,Simone Biles,United States,Gold
2028,Women,Diana Taurasi,United States,Silver
2028,Women,Rebeca Andrade,Brazil,Bronze
2028,Women +67kg,Althea Laurin,France,Gold
2028,Women +67kg,Dabin Lee,South Korea,Silver
2028,Women +67kg,Lorena Brandl,Germany,Bronze
2028,Women +78 kg,Akira Sone,Japan,Gold
2028,Women +78 kg,Romane Dicko,France,Silver
2028,Women +78 kg,Beatriz Souza,Brazil,Bronze
2028,Women -48 kg,Natsumi Tsunoda,Japan,Gold
2028,Women -48 kg,Shirine Boukli,France,Silver
2028,Women -48 kg,Katharina Menz,Germany,Bronze
2028,Women -49kg,Qing Guo,China,Gold
2028,Women -49kg,Panipak Wongpattanakit,Thailand,Silver
2028,Women -49kg,Adriana Cerezo,Spain,Bronze
2028,Women -52 kg,Amandine Buchard,France,Gold
2028,Women -52 kg,Uta Abe,Japan,Silver
2028,Women -52 kg,Odette Giuffrida,Italy,Bronze
2028,Women -57 kg,Leonie Cysique,France,Gold
2028,Women -57 kg,Rafaela Silva,Brazil,Silver
2028,Women -57 kg,Christa Deguchi,Canada,Bronze
2028,Women -57kg,Jade Jones,Great Britain,Gold
2028,Women -57kg,Yujin Kim,South Korea,Silver
2028,Women -57kg,Faith Dillon,United States,Bronze
2028,Women -63 kg,Clarisse Agbegnenou,France,Gold
2028,Women -63 kg,Ketleyn Quadros,Brazil,Silver
2028,Women -63 kg,Miku Takaichi,Japan,Bronze
2028,Women -67kg,Viviana Marton,Hungary,Gold
2028,Women -67kg,Kristina Teachout,United States,Silver
2028,Women -67kg,Aleksandra Perisic,Serbia,Bronze
2028,Women -70 kg,Eve Gahie,France,Gold
2028,Women -70 kg,Miriam Butkereit,Germany,Silver
2028,Women -70 kg,Barbara Matic,Croatia,Bronze
2028,Women -78 kg,Madeleine Malonga,France,Gold
2028,Women -78 kg,Alice Bellandi,Italy,Silver
2028,Women -78 kg,Anna-maria Wagner,Germany,Bronze
2028,Women's +81kg,Wenwen Li,China,Gold
2028,Women's +81kg,Mary Theisen,United States,Silver
2028,Women's +81kg,Hyejeong Park,South Korea,Bronze
2028,"Women's 10,000m",Sifan Hassan,Netherlands,Gold
2028,"Women's 10,000m",Beatrice Chebet,Kenya,Silver
2028,"Women's 10,000m",Karissa Schweizer,United States,Bronze
2028,Women's 100m,Sha'carri Richardson,United States,Gold
2028,Women's 100m,Melissa Jefferson,United States,Silver
2028,Women's 100m,Daryll Neita,Great Britain,Bronze
2028,Women's 100m Backstroke,McKEOWN Kaylee,Australia,Gold
2028,Women's 100m Backstroke,Regan Smith,United States,Silver
2028,Women's 100m Backstroke,Kylie Masse,Canada,Bronze
2028,Women's 100m Breaststroke,Lilly King,United States,Gold
2028,Women's 100m Breaststroke,Qianting Tang,China,Silver
2028,Women's 100m Breaststroke,Satomi Suzuki,Japan,Bronze
2028,Women's 100m Butterfly,McKEON Emma,Australia,Gold
2028,Women's 100m Butterfly,Torri Huske,United States,Silver
2028,Women's 100m Butterfly,Yufei Zhang,China,Bronze
2028,Women's 100m Freestyle,Mollie O'callaghan,Australia,Gold
2028,Women's 100m Freestyle,Torri Huske,United States,Silver
2028,Women's 100m Freestyle,Gretchen Walsh,United States,Bronze
2028,Women's 100m Hurdles,Masai Russell,United States,Gold
2028,Women's 100m Hurdles,Jasmine Camacho-quinn,Puerto Rico,Silver
2028,Women's 100m Hurdles,Cyrena Samba-mayela,France,Bronze
2028,Women's 10km,van Sharon,Netherlands,Gold
2028,Women's 10km,Marcela Cunha,Brazil,Silver
2028,Women's 10km,Xin Xin,China,Bronze
2028,Women's 10m Platform,Yuxi Chen,China,Gold
2028,Women's 10m Platform,Hongchan Quan,China,Silver
2028,Women's 10m Platform,Melissa Wu,Australia,Bronze
2028,Women's 1500m,Faith Kipyegon,Kenya,Gold
2028,Women's 1500m,Laura Muir,Great Britain,Silver
2028,Women's 1500m,Jessica Hull,Australia,Bronze
2028,Women's 1500m Freestyle,Katie Ledecky,United States,Gold
2028,Women's 1500m Freestyle,Bingjie Li,China,Silver
2028,Women's 1500m Freestyle,Lani Pallister,Australia,Bronze
2028,Women's 200m,Gabrielle Thomas,United States,Gold
2028,Women's 200m,Shericka Jackson,Jamaica,Silver
2028,Women's 200m,Daryll Neita,Great Britain,Bronze
2028,Women's 200m Backstroke,McKEOWN Kaylee,Australia,Gold
2028,Women's 200m Backstroke,Regan Smith,United States,Silver
2028,Women's 200m Backstroke,Kylie Masse,Canada,Bronze
2028,Women's 200m Breaststroke,Lilly King,United States,Gold
2028,Women's 200m Breaststroke,Kate Douglass,United States,Silver
2028,Women's 200m Breaststroke,Satomi Suzuki,Japan,Bronze
2028,Women's 200m Butterfly,Regan Smith,United States,Gold
2028,Women's 200m Butterfly,Yufei Zhang,China,Silver
2028,Women's 200m Butterfly,McINTOSH Summer,Canada,Bronze
2028,Women's 200m Freestyle,Ariarne Titmus,Australia,Gold
2028,Women's 200m Freestyle,Mollie O'callaghan,Australia,Silver
2028,Women's 200m Freestyle,Junxuan Yang,China,Bronze
2028,Women's 200m Individual Medley,McKEOWN Kaylee,Australia,Gold
2028,Women's 200m Individual Medley,Kate Douglass,United States,Silver
2028,Women's 200m Individual Medley,McINTOSH Summer,Canada,Bronze
2028,Women's 20km Race Walk,Maria Perez,Spain,Gold
2028,Women's 20km Race Walk,Antonella Palmisano,Italy,Silver
2028,Women's 20km Race Walk,Jiayu Yang,China,Bronze
2028,Women's 3000m Steeplechase,Peruth Chemutai,Uganda,Gold
2028,Women's 3000m Steeplechase,Winfred Yavi,Bahrain,Silver
2028,Women's 3000m Steeplechase,Valerie Constien,United States,Bronze
2028,Women's 3m Springboard,Yiwen Chen,China,Gold
2028,Women's 3m Springboard,Yani Chang,China,Silver
2028,Women's 3m Springboard,Maddison Keeney,Australia,Bronze
2028,Women's 4 x 100m Freestyle Relay,Simone Manuel,United States,Gold
2028,Women's 4 x 100m Freestyle Relay,McKEON Emma,Australia,Silver
2028,Women's 4 x 100m Freestyle Relay,Mollie O'callaghan,Australia,Bronze
2028,Women's 4 x 100m Medley Relay,McKEON Emma,Australia,Gold
2028,Women's 4 x 100m Medley Relay,McKEOWN Kaylee,Australia,Silver
2028,Women's 4 x 100m Medley Relay,Mollie O'callaghan,Australia,Bronze
2028,Women's 4 x 100m Relay,Gabrielle Thomas,United States,Gold
2028,Women's 4 x 100m Relay,Shericka Jackson,Jamaica,Silver
2028,Women's 4 x 100m Relay,Aleia Hobbs,United States,Bronze
2028,Women's 4 x 200m Freestyle Relay,Ariarne Titmus,Australia,Gold
2028,Women's 4 x 200m Freestyle Relay,Mollie O'callaghan,Australia,Silver
2028,Women's 4 x 200m Freestyle Relay,Simone Manuel,United States,Bronze
2028,Women's 4 x 400m Relay,Gabrielle Thomas,United States,Gold
2028,Women's 4 x 400m Relay,Kendall Ellis,United States,Silver
2028,Women's 4 x 400m Relay,Quanera Hayes,United States,Bronze
2028,Women's 400m,Kendall Ellis,United States,Gold
2028,Women's 400m,Natalia Kaczmarek,Poland,Silver
2028,Women's 400m,Alexis Holmes,United States,Bronze
2028,Women's 400m Freestyle,Ariarne Titmus,Australia,Gold
2028,Women's 400m Freestyle,McINTOSH Summer,Canada,Silver
2028,Women's 400m Freestyle,Katie Ledecky,United States,Bronze
2028,Women's 400m Hurdles,McLAUGHLIN-LEVRONE Sydney,United States,Gold
2028,Women's 400m Hurdles,Femke Bol,Netherlands,Silver
2028,Women's 400m Hurdles,Cathelijn Peeters,Netherlands,Bronze
2028,Women's 400m Individual Medley,McINTOSH Summer,Canada,Gold
2028,Women's 400m Individual Medley,Emma Weyant,United States,Silver
2028,Women's 400m Individual Medley,Katie Grimes,United States,Bronze
2028,Women's 49kg,Zhihui Hou,China,Gold
2028,Women's 49kg,Jourdan Delacruz,United States,Silver
2028,Women's 49kg,Rira Suzuki,Japan,Bronze
2028,Women's 5000m,Sifan Hassan,Netherlands,Gold
2028,Women's 5000m,Faith Kipyegon,Kenya,Silver
2028,Women's 5000m,Beatrice Chebet,Kenya,Bronze
2028,Women's 50kg,Yu Wu,China,Gold
2028,Women's 50kg,Naz Cakiroglu,Turkey,Silver
2028,Women's 50kg,Jennifer Lozano,United States,Bronze
2028,Women's 50m Freestyle,Simone Manuel,United States,Gold
2028,Women's 50m Freestyle,Yufei Zhang,China,Silver
2028,Women's 50m Freestyle,Meg Harris,Australia,Bronze
2028,Women's 54kg,Yuan Chang,China,Gold
2028,Women's 54kg,Hatice Akbas,Turkey,Silver
2028,Women's 54kg,Tiana Echegaray,Australia,Bronze
2028,Women's 57kg,Ting Lin,Chinese Taipei,Gold
2028,Women's 57kg,Nesthy Petecio,Philippines,Silver
2028,Women's 57kg,Julia Szeremeta,Poland,Bronze
2028,Women's 59kg,Shifang Luo,China,Gold
2028,Women's 59kg,Hsing-chun Kuo,Chinese Taipei,Silver
2028,Women's 59kg,Maude Charron,Canada,Bronze
2028,Women's 60kg,Estelle Mossely,France,Gold
2028,Women's 60kg,Wenlu Yang,China,Silver
2028,Women's 60kg,Kellie Harrington,Ireland,Bronze
2028,Women's 66kg,Liu Yang,China,Gold
2028,Women's 66kg,McCANE Morelle,United States,Silver
2028,Women's 66kg,Marissa Williamson,Australia,Bronze
2028,Women's 71kg,Olivia Reeves,United States,Gold
2028,Women's 71kg,Leivis Sanchez,Colombia,Silver
2028,Women's 71kg,Jacqueline Nichele,Australia,Bronze
2028,Women's 75kg,Qian Li,China,Gold
2028,Women's 75kg,Caitlin Parker,Australia,Silver
2028,Women's 75kg,Amanda Thibeault,Canada,Bronze
2028,Women's 800m,Keely Hodgkinson,Great Britain,Gold
2028,Women's 800m,Tsige Duguma,Ethiopia,Silver
2028,Women's 800m,Nia Akins,United States,Bronze
2028,Women's 800m Freestyle,Ariarne Titmus,Australia,Gold
2028,Women's 800m Freestyle,Katie Ledecky,United States,Silver
2028,Women's 800m Freestyle,Paige Madden,United States,Bronze
2028,Women's 81kg,Patricia Dajomes,Ecuador,Gold
2028,Women's 81kg,Eileen Cikamatana,Australia,Silver
2028,Women's 81kg,Amena Koanda,Norway,Bronze
2028,Women's All-Around,Simone Biles,United States,Gold
2028,Women's All-Around,Rebeca Andrade,Brazil,Silver
2028,Women's All-Around,Sunisa Lee,United States,Bronze
2028,Women's Balance Beam,Simone Biles,United States,Gold
2028,Women's Balance Beam,Rebeca Andrade,Brazil,Silver
2028,Women's Balance Beam,Sunisa Lee,United States,Bronze
2028,Women's Boulder & Lead,Janja Garnbret,Slovenia,Gold
2028,Women's Boulder & Lead,Brooke Raboutou,United States,Silver
2028,Women's Boulder & Lead,Miho Nonaka,Japan,Bronze
2028,Women's Canoe Double 500m,Shixiao Xu,China,Gold
2028,Women's Canoe Double 500m,Mengya Sun,China,Silver
2028,Women's Canoe Double 500m,Katie Vincent,Canada,Bronze
2028,Women's Canoe Single,Jessica Fox,Australia,Gold
2028,Women's Canoe Single,Evy Leibfarth,United States,Silver
2028,Women's Canoe Single,Elena Lilik,Germany,Bronze
2028,Women's Canoe Single 200m,Nevin Harrison,United States,Gold
2028,Women's Canoe Single 200m,Katie Vincent,Canada,Silver
2028,Women's Canoe Single 200m,Liudmyla Luzan,Ukraine,Bronze
2028,Women's Cross-country,Pauline Ferrand,France,Gold
2028,Women's Cross-country,Jenny Rissveds,Sweden,Silver
2028,Women's Cross-country,Haley Batten,United States,Bronze
2028,Women's Dinghy,Marit Bouwmeester,Netherlands,Gold
2028,Women's Dinghy,Anne-marie Rindom,Denmark,Silver
2028,Women's Dinghy,Erika Reineke,United States,Bronze
2028,Women's Discus Throw,Valarie Allman,United States,Gold
2028,Women's Discus Throw,Kristin Pudenz,Germany,Silver
2028,Women's Discus Throw,Bin Feng,China,Bronze
2028,Women's Double Sculls,Ancuta Bodnar,Romania,Gold
2028,Women's Double Sculls,Simona Radis,Romania,Silver
2028,Women's Double Sculls,Lucy Spoors,New Zealand,Bronze
2028,Women's Doubles,Chen Chen,China,Gold
2028,Women's Doubles,Fan Jia,China,Silver
2028,Women's Doubles,Katerina Siniakova,Czech Republic,Bronze
2028,Women's Eight,Meghan Musnicki,United States,Gold
2028,Women's Eight,Simona Radis,Romania,Silver
2028,Women's Eight,Ancuta Bodnar,Romania,Bronze
2028,Women's Floor Exercise,Simone Biles,United States,Gold
2028,Women's Floor Exercise,Rebeca Andrade,Brazil,Silver
2028,Women's Floor Exercise,Sunisa Lee,United States,Bronze
2028,Women's Foil Individual,Lee Kiefer,United States,Gold
2028,Women's Foil Individual,Arianna Errigo,Italy,Silver
2028,Women's Foil Individual,Lauren Scruggs,United States,Bronze
2028,Women's Foil Team,Lee Kiefer,United States,Gold
2028,Women's Foil Team,Arianna Errigo,Italy,Silver
2028,Women's Foil Team,Lauren Scruggs,United States,Bronze
2028,Women's Four,Helen Glover,Great Britain,Gold
2028,Women's Four,Amalia Beres,Romania,Silver
2028,Women's Four,Magdalena Rusu,Romania,Bronze
2028,Women's Freestyle 50kg,Ann Hildebrandt,United States,Gold
2028,Women's Freestyle 50kg,Yui Susaki,Japan,Silver
2028,Women's Freestyle 50kg,Mariya Stadnik,Azerbaijan,Bronze
2028,Women's Freestyle 53kg,Qianyu Pang,China,Gold
2028,Women's Freestyle 53kg,Akari Fujinami,Japan,Silver
2028,Women's Freestyle 53kg,Olivia Parrish,United States,Bronze
2028,Women's Freestyle 57kg,Tsugumi Sakurai,Japan,Gold
2028,Women's Freestyle 57kg,Anastasia Nichita,Moldova,Silver
2028,Women's Freestyle 57kg,Louise Maroulis,United States,Bronze
2028,Women's Freestyle 62kg,Sakura Motoki,Japan,Gold
2028,Women's Freestyle 62kg,Iryna Koliadenko,Ukraine,Silver
2028,Women's Freestyle 62kg,Aisuluu Tynybekova,Kyrgyzstan,Bronze
2028,Women's Freestyle 68kg,Amit Elor,United States,Gold
2028,Women's Freestyle 68kg,Blessing Oborududu,Nigeria,Silver
2028,Women's Freestyle 68kg,Meerim Zhumanazarova,Kyrgyzstan,Bronze
2028,Women's Freestyle 76kg,Yuka Kagami,Japan,Gold
2028,Women's Freestyle 76kg,Alexis Blades,United States,Silver
2028,Women's Freestyle 76kg,Yasemin Adar,Turkey,Bronze
2028,Women's Hammer Throw,Camryn Rogers,Canada,Gold
2028,Women's Hammer Throw,Anita Wlodarczyk,Poland,Silver
2028,Women's Hammer Throw,Zheng Wang,China,Bronze
2028,Women's Heptathlon,Nafissatou Thiam,Belgium,Gold
2028,Women's Heptathlon,Katarina Johnson-thompson,Great Britain,Silver
2028,Women's Heptathlon,Taliyah Brooks,United States,Bronze
2028,Women's High Jump,Yaroslava Mahuchikh,Ukraine,Gold
2028,Women's High Jump,Nicola Olyslagers,Australia,Silver
2028,Women's High Jump,Mirela Demireva,Bulgaria,Bronze
2028,Women's Individual,Sihyeon Lim,South Korea,Gold
2028,Women's Individual,Georgia Taylor-brown,Great Britain,Silver
2028,Women's Individual,Suhyeon Nam,South Korea,Bronze
2028,Women's Individual Stroke Play,Nelly Korda,United States,Gold
2028,Women's Individual Stroke Play,Lydia Ko,New Zealand,Silver
2028,Women's Individual Stroke Play,Esther Henseleit,Germany,Bronze
2028,Women's Individual Time Trial,Mieke Kroeger,Germany,Gold
2028,Women's Individual Time Trial,Grace Brown,Australia,Silver
2028,Women's Individual Time Trial,Taylor Knibb,United States,Bronze
2028,Women's Javelin Throw,Haruka Kitaguchi,Japan,Gold
2028,Women's Javelin Throw,Sara Kolak,Croatia,Silver
2028,Women's Javelin Throw,Maria Andrejczyk,Poland,Bronze
2028,Women's Kayak Cross,Jessica Fox,Australia,Gold
2028,Women's Kayak Cross,Ricarda Funk,Germany,Silver
2028,Women's Kayak Cross,Noemie Fox,Australia,Bronze
2028,Women's Kayak Double 500m,Lisa Carrington,New Zealand,Gold
2028,Women's Kayak Double 500m,Tamara Csipes,Hungary,Silver
2028,Women's Kayak Double 500m,Paulina Paszek,Germany,Bronze
2028,Women's Kayak Four 500m,Lisa Carrington,New Zealand,Gold
2028,Women's Kayak Four 500m,Tamara Csipes,Hungary,Silver
2028,Women's Kayak Four 500m,Teresa Portela,Spain,Bronze
2028,Women's Kayak Single,Jessica Fox,Australia,Gold
2028,Women's Kayak Single,Ricarda Funk,Germany,Silver
2028,Women's Kayak Single,Evy Leibfarth,United States,Bronze
2028,Women's Kayak Single 500m,Lisa Carrington,New Zealand,Gold
2028,Women's Kayak Single 500m,Tamara Csipes,Hungary,Silver
2028,Women's Kayak Single 500m,Nan Wang,China,Bronze
2028,Women's Keirin,Ellesse Andrews,New Zealand,Gold
2028,Women's Keirin,Matthew Richardson,Australia,Silver
2028,Women's Keirin,Katy Marchant,Great Britain,Bronze
2028,Women's Long Jump,Malaika Mihambo,Germany,Gold
2028,Women's Long Jump,Tara Davis-woodhall,United States,Silver
2028,Women's Long Jump,Jasmine Moore,United States,Bronze
2028,Women's Madison,Jennifer Valente,United States,Gold
2028,Women's Madison,Elinor Barker,Great Britain,Silver
2028,Women's Madison,Lily Williams,United States,Bronze
2028,Women's Marathon,Sifan Hassan,Netherlands,Gold
2028,Women's Marathon,Hellen Obiri,Kenya,Silver
2028,Women's Marathon,Malindi Elmore,Canada,Bronze
2028,Women's Omnium,Jennifer Valente,United States,Gold
2028,Women's Omnium,Elinor Barker,Great Britain,Silver
2028,Women's Omnium,Lily Williams,United States,Bronze
2028,Women's Pair,McINTYRE Annabelle,Australia,Gold
2028,Women's Pair,Veronique Meester,Netherlands,Silver
2028,Women's Pair,Ymkje Clevering,Netherlands,Bronze
2028,Women's Park,Sakura Yosozumi,Japan,Gold
2028,Women's Park,Yawen Deng,China,Silver
2028,Women's Park,Arisa Trew,Australia,Bronze
2028,Women's Pole Vault,Nina Kennedy,Australia,Gold
2028,Women's Pole Vault,Aikaterini Stefanidi,Greece,Silver
2028,Women's Pole Vault,Katie Moon,United States,Bronze
2028,Women's Quadruple Sculls,Ling Zhang,China,Gold
2028,Women's Quadruple Sculls,Yang Lyu,China,Silver
2028,Women's Quadruple Sculls,Xiaotong Cui,China,Bronze
2028,Women's Road Race,Marianne Vos,Netherlands,Gold
2028,Women's Road Race,Grace Brown,Australia,Silver
2028,Women's Road Race,Anna Kiesenhofer,Austria,Bronze
2028,Women's Sabre Individual,Sara Balzer,France,Gold
2028,Women's Sabre Individual,Alina Komashchuk,Ukraine,Silver
2028,Women's Sabre Individual,Olena Kravatska,Ukraine,Bronze
2028,Women's Sabre Team,Alina Komashchuk,Ukraine,Gold
2028,Women's Sabre Team,Olena Kravatska,Ukraine,Silver
2028,Women's Sabre Team,Sara Balzer,France,Bronze
2028,Women's Shot Put,Lijiao Gong,China,Gold
2028,Women's Shot Put,Yemisi Ogunleye,Germany,Silver
2028,Women's Shot Put,Raven Saunders,United States,Bronze
2028,Women's Single Sculls,Emma Twigg,New Zealand,Gold
2028,Women's Single Sculls,Karolien Florijn,Netherlands,Silver
2028,Women's Single Sculls,Kara Kohler,United States,Bronze
2028,Women's Singles,Yingsha Sun,China,Gold
2028,Women's Singles,Meng Chen,China,Silver
2028,Women's Singles,Katerina Siniakova,Czech Republic,Bronze
2028,Women's Skiff,Charline Picon,France,Gold
2028,Women's Skiff,Kahena Kunze,Brazil,Silver
2028,Women's Skiff,Jo Aleh,New Zealand,Bronze
2028,Women's Speed,Aleksandra Miroslaw,Poland,Gold
2028,Women's Speed,Lijuan Deng,China,Silver
2028,Women's Speed,Emma Hunt,United States,Bronze
2028,Women's Sprint,Ellesse Andrews,New Zealand,Gold
2028,Women's Sprint,Emma Finucane,Great Britain,Silver
2028,Women's Sprint,Katy Marchant,Great Britain,Bronze
2028,Women's Street,Coco Yoshizawa,Japan,Gold
2028,Women's Street,Rayssa Leal,Brazil,Silver
2028,Women's Street,Liz Akama,Japan,Bronze
2028,Women's Synchronised 10m Platform,Yuxi Chen,China,Gold
2028,Women's Synchronised 10m Platform,Hongchan Quan,China,Silver
2028,Women's Synchronised 10m Platform,Jessica Parratto,United States,Bronze
2028,Women's Synchronised 3m Springboard,Yiwen Chen,China,Gold
2028,Women's Synchronised 3m Springboard,Maddison Keeney,Australia,Silver
2028,Women's Synchronised 3m Springboard,Yani Chang,China,Bronze
2028,Women's Team,Simone Biles,United States,Gold
2028,Women's Team,Yingsha Sun,China,Silver
2028,Women's Team,Rebeca Andrade,Brazil,Bronze
2028,Women's Team Pursuit,Jennifer Valente,United States,Gold
2028,Women's Team Pursuit,Elinor Barker,Great Britain,Silver
2028,Women's Team Pursuit,Lily Williams,United States,Bronze
2028,Women's Team Sprint,Ellesse Andrews,New Zealand,Gold
2028,Women's Team Sprint,Katy Marchant,Great Britain,Silver
2028,Women's Team Sprint,Emma Finucane,Great Britain,Bronze
2028,Women's Triple Jump,Thea Lafond,Dominica,Gold
2028,Women's Triple Jump,Jasmine Moore,United States,Silver
2028,Women's Triple Jump,Shanieka Ricketts,Jamaica,Bronze
2028,Women's Uneven Bars,Simone Biles,United States,Gold
2028,Women's Uneven Bars,Rebeca Andrade,Brazil,Silver
2028,Women's Uneven Bars,Sunisa Lee,United States,Bronze
2028,Women's Vault,Simone Biles,United States,Gold
2028,Women's Vault,Rebeca Andrade,Brazil,Silver
2028,Women's Vault,Sunisa Lee,United States,Bronze
2028,Women's Windsurfing,Marta Maggetti,Italy,Gold
2028,Women's Windsurfing,Emma Wilson,Great Britain,Silver
2028,Women's Windsurfing,Sharon Kantor,Israel,Bronze
2028,Women's Épée Individual,Rossella Fiamingo,Italy,Gold
2028,Women's Épée Individual,Alberta Santuccio,Italy,Silver
2028,Women's Épée Individual,Yiwen Sun,China,Bronze
2028,Women's Épée Team,Rossella Fiamingo,Italy,Gold
2028,Women's Épée Team,Mara Navarria,Italy,Silver
2028,Women's Épée Team,Alberta Santuccio,Italy,Bronze
